benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
SL intersect sum,PR@10,11/11,complete,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.1666666666666666,0.1333333333333333,0.1666666666666666,0.0666666666666666,0.1999999999999999,0.3333333333333333,0.1333333333333333,0.3666666666666667
TF all_genes concat,AUROC,11/11,complete,0.8661047437021351,0.864595482687728,0.8639037875442382,0.6544526101858413,0.6803905245194674,0.6135065471691927,0.5450394811148312,0.5568717191402929,0.554957881473393,0.5571424122950271,0.5346856467658746
TF all_genes concat,AUPRC,11/11,complete,0.3761583079927592,0.3798968307219688,0.3713886782863165,0.1715744961442324,0.2092147687835367,0.1496894083508972,0.1127866667165115,0.1101081356732283,0.1150757718802801,0.1128528289616733,0.1051908333469081
TF all_genes concat,PR@10,11/11,complete,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.2333333333333333,0.6666666666666666,0.4666666666666666,0.1666666666666666,0.0333333333333333,0.2666666666666666,0.0999999999999999,0.1
TF all_genes product,AUROC,11/11,complete,0.6574344525361614,0.6607172498272317,0.6540566338121209,0.6327494565875107,0.5263737364965769,0.5776195413794029,0.5424929865175815,0.561356395150982,0.5571089226425681,0.5592333116830055,0.5466925270803104
TF all_genes product,AUPRC,11/11,complete,0.1606277404315621,0.1613893972399682,0.162362646508283,0.1365218622137252,0.1009508449158346,0.1170426393420435,0.1106290291947113,0.1098802467662275,0.1164104036741848,0.1133294243111373,0.1117434392778729
TF all_genes product,PR@10,11/11,complete,0.2,0.2,0.2666666666666666,0.0666666666666666,0.1333333333333333,0.1,0.2666666666666666,0.0333333333333333,0.2333333333333333,0.1,0.2
TF all_genes sum,AUROC,11/11,complete,0.8694159056184992,0.8650166537322695,0.86952740363097,0.6407775563435892,0.6748775960894497,0.6125691568674135,0.5399239930154592,0.5495173465030495,0.5603784666228165,0.5490599370410107,0.519032968222891
TF all_genes sum,AUPRC,11/11,complete,0.3816373580870424,0.3830806013090811,0.3813558965655934,0.1572928050603737,0.2033539794421265,0.1415452815791359,0.1093535151083239,0.1085393441335445,0.1157993311902036,0.1116212973576298,0.100286124450204
TF all_genes sum,PR@10,11/11,complete,0.5,0.5,0.5333333333333333,0.3,0.6333333333333333,0.3999999999999999,0.2666666666666666,0.0666666666666666,0.2666666666666666,0.1999999999999999,0.2333333333333333
TF intersect concat,AUROC,11/11,complete,0.8573734957226122,0.8572474544271887,0.855968478600543,0.6148118323154871,0.6571604885392873,0.6021458622028106,0.5405915873080095,0.5414388396116622,0.5598655036172645,0.5117024464596346,0.5302304892131836
TF intersect concat,AUPRC,11/11,complete,0.3836626832557603,0.3849324399529725,0.3729006433489039,0.1583517051089594,0.1914181598061931,0.1610038298929284,0.11790491963258,0.1168975523572396,0.1194221918252926,0.1079285098283188,0.1139895202948962
TF intersect concat,PR@10,11/11,complete,0.5333333333333333,0.5666666666666667,0.5666666666666667,0.2,0.5333333333333333,0.4333333333333333,0.1333333333333333,0.0333333333333333,0.1,0.1333333333333333,0.0333333333333333
TF intersect product,AUROC,11/11,complete,0.6570664724165761,0.6509264956678239,0.6514815944981881,0.5988030567566499,0.5287770768742992,0.5689188266262638,0.5278931416173643,0.5463768499908702,0.5340492514247693,0.5088445589073385,0.5235533988863904
TF intersect product,AUPRC,11/11,complete,0.1795078316906155,0.1751253821589945,0.1745880348400653,0.1374871256024471,0.112951721189077,0.1394734572680436,0.114491803925852,0.1218708831361403,0.1146360449684441,0.1037764039605374,0.1105865071701153
TF intersect product,PR@10,11/11,complete,0.3,0.2333333333333333,0.2666666666666666,0.0666666666666666,0.1,0.2333333333333333,0.1,0.0333333333333333,0.1333333333333333,0.0666666666666666,0.1
TF intersect sum,AUROC,11/11,complete,0.8638361432038301,0.8601714176246666,0.8645208547550092,0.5921786763432982,0.651175355100988,0.5907976976220097,0.5185402522717212,0.5187108417673992,0.5499520066008526,0.5068766896759861,0.5292331910769711
TF intersect sum,AUPRC,11/11,complete,0.4086203266294206,0.4065315739486728,0.4197408056677855,0.146340435759625,0.1953055950207519,0.1475075793816379,0.1115177821276525,0.1122921706738112,0.1202022707876603,0.1053380305689529,0.109992411906625
TF intersect sum,PR@10,11/11,complete,0.4666666666666666,0.4333333333333333,0.5666666666666668,0.1999999999999999,0.5666666666666668,0.2666666666666666,0.1666666666666666,0.0666666666666666,0.1333333333333333,0.0333333333333333,0.0666666666666666
