gene_symbol,discovery_variance,discovery_detection_rate,panel_score,excluded_signature_gene
NSG1,2.4560041,0.5032867707477403,1.7423558282711824,False
SMIM22,2.1418662,0.6598192276088742,1.739822016964474,False
PTGES,1.7531432,0.9847986852917009,1.7397671225232942,False
KLK11,2.5515356,0.46425636811832377,1.7385235100983518,False
ITGB4,1.7416731,0.9958915365653246,1.7380916293842241,False
COL12A1,1.7419502,0.9942481511914544,1.7369332127687658,True
CPB1,3.489652,0.24732949876746096,1.7354818189214674,False
HTRA3,1.7450655,0.9880854560394412,1.7346384699088915,False
NPR3,1.9563781,0.7818405916187346,1.7298637594435065,False
NXPH4,1.9031596,0.8245686113393591,1.7281785622103365,False
CLDN8,2.3248498,0.5517666392769104,1.726921623683379,False
SLC16A9,1.9965295,0.748151191454396,1.726912801027257,False
SLC39A6,1.7264385,1.0,1.7264385223388672,False
SUSD2,1.7388457,0.9839769926047658,1.7248586823845447,False
B3GNT3,1.9894083,0.7514379622021364,1.7245289184821584,False
ALPL,1.7261645,0.9971240755957272,1.7236805137373414,False
SPINT2,1.7782688,0.9375513557929335,1.7218485345837826,False
DDX3Y,2.7152462,0.4005751848808546,1.7185067232980564,False
LIPH,1.9318284,0.790468364831553,1.717555536519176,False
SDC1,1.717623,0.9983566146261298,1.7162110567940467,True
NTRK2,2.0883415,0.6729663105998357,1.713160985339222,False
ISLR,1.7222158,0.9872637633525062,1.7112133532497533,False
SOSTDC1,2.2235112,0.5920295809367296,1.7108464325481154,False
SLCO4C1,2.3317423,0.5369761709120788,1.7086694542417833,False
RHCG,2.7448611,0.38578471651602303,1.704876347885622,False
CAPN13,1.9858199,0.7350041084634347,1.7024907055390976,False
IGFBP5,1.7021822,1.0,1.7021821737289429,False
FOXJ1,2.3811202,0.5102711585866886,1.7009119455043007,False
EPN3,2.0040545,0.719391947411668,1.6997784702649197,False
ELN,1.7396036,0.9519309778142975,1.6972782164054805,True
GREB1,2.0704877,0.671733771569433,1.6969586280150768,False
