token_id,gene_symbol
1437,BNC2
1438,BNIP1
1439,BNIP2
1440,BNIP3
1441,BNIP3L
1442,BNIP5
1443,BNIPL
1444,BOC
1445,BOK
1446,BOLA1
1447,BOLA3
1448,BOLL
1449,BOP1
1450,BORA
1451,BORCS5
1452,BORCS6
1453,BORCS7
1454,BORCS8
1455,BPGM
1456,BPHL
1457,BPI
1458,BPIFA2
1459,BPIFA3
1460,BPIFB1
1461,BPIFB2
1462,BPIFB3
1463,BPIFB4
1464,BPIFB6
1465,BPIFC
1466,BPNT1
1467,BPNT2
1468,BPTF
1469,BRAF
1470,BRAP
1471,BRAT1
1472,BRCA1
1473,BRCA2
1474,BRD1
1475,BRD2
1476,BRD3
1477,BRD3OS
1478,BRD4
1479,BRD7
1480,BRD8
1481,BRD9
1482,BRDT
1483,BRF1
1484,BRF2
1485,BRI3
1486,BRI3BP
1487,BRICD5
1488,BRINP1
1489,BRINP2
1490,BRINP3
1491,BRIP1
1492,BRIX1
1493,BRK1
1494,BRME1
1495,BRMS1
1496,BRMS1L
1497,BROX
1498,BRPF1
1499,BRPF3
1500,BRS3
1501,BRSK1
1502,BRSK2
1503,BRWD1
1504,BRWD3
1505,BSCL2
1506,BSDC1
1507,BSG
1508,BSN
1509,BSND
1510,BSPH1
1511,BSPRY
1512,BST1
1513,BST2
1514,BSX
1515,BTAF1
1516,BTBD1
1517,BTBD10
1518,BTBD16
1519,BTBD17
1520,BTBD18
1521,BTBD19
1522,BTBD2
1523,BTBD3
1524,BTBD6
1525,BTBD7
1526,BTBD8
1527,BTBD9
1528,BTC
1529,BTD
1530,BTF3
1531,BTF3L4
1532,BTG1
1533,BTG2
1534,BTG3
1535,BTG4
1536,BTK
1537,BTLA
1538,BTN1A1
1539,BTNL2
1540,BTNL9
1541,BTRC
1542,BUB1
1543,BUB1B
1544,BUB3
1545,BUD13
1546,BUD23
1547,BUD31
1548,BYSL
1549,BZW1
1550,BZW2
1551,C1D
1552,C1GALT1
1553,C1GALT1C1
1554,C1QA
1555,C1QB
1556,C1QBP
1557,C1QC
1558,C1QL1
1559,C1QL2
1560,C1QL3
1561,C1QL4
1562,C1QTNF1
1563,C1QTNF12
1564,C1QTNF2
1565,C1QTNF3
1566,C1QTNF4
1567,C1QTNF6
1568,C1QTNF7
1569,C1RL
1570,C2
1571,C2CD2
1572,C2CD2L
1573,C2CD3
1574,C2CD4A
1575,C2CD4B
1576,C2CD4C
1577,C2CD4D
1578,C2CD5
1579,C3
1580,C3AR1
1581,C5AR1
1582,C5AR2
1583,C6
1584,C7
1585,C8A
1586,C8B
1587,C8G
1588,C9
1589,C9orf72
1590,CAAP1
1591,CAB39
1592,CAB39L
1593,CABCOCO1
1594,CABIN1
1595,CABLES1
1596,CABLES2
1597,CABP1
1598,CABP2
1599,CABP4
1600,CABP5
1601,CABP7
1602,CABS1
1603,CABYR
1604,CACFD1
1605,CACHD1
1606,CACNA1A
1607,CACNA1B
1608,CACNA1C
1609,CACNA1D
1610,CACNA1E
1611,CACNA1F
1612,CACNA1G
1613,CACNA1H
1614,CACNA1I
1615,CACNA1S
1616,CACNA2D1
1617,CACNA2D2
1618,CACNA2D3
1619,CACNA2D4
1620,CACNB1
1621,CACNB2
1622,CACNB3
1623,CACNB4
1624,CACNG1
1625,CACNG2
1626,CACNG3
1627,CACNG4
1628,CACNG5
1629,CACNG6
1630,CACNG7
1631,CACNG8
1632,CACTIN
1633,CACUL1
1634,CACYBP
1635,CAD
1636,CADM1
1637,CADM2
1638,CADM3
